Month,Product,Region,Latitude,Longitude,Sales,Forecast,VariancePct,OrderProcessingTime
Apr,Pasta & Pizza,North America,40.7128,-74.006,131958,134305,-1.747514984550091,31.087486320962597
Apr,Pasta & Pizza,North America,40.7128,-74.006,217892,213394,2.107838083544992,28.769140460803328
Apr,Pasta & Pizza,North America,40.7128,-74.006,485602,473946,2.4593519092892437,25.978074220510745
Apr,Pasta & Pizza,North America,40.7128,-74.006,201335,203848,-1.2327812880185236,29.014393150073143
Apr,Pasta & Pizza,North America,40.7128,-74.006,339365,330332,2.7345216327815653,30.466190478119486
Apr,Pasta & Pizza,North America,40.7128,-74.006,209041,205050,1.9463545476712998,30.235989224687
Apr,Pasta & Pizza,North America,40.7128,-74.006,245796,247528,-0.6997188196890857,30.044443653223965
Apr,Pasta & Pizza,North America,40.7128,-74.006,356622,348908,2.2108980017655084,29.144414172793308
Apr,Pasta & Pizza,North America,40.7128,-74.006,140523,144517,-2.763688700983275,29.497912063828448
Apr,Pasta & Pizza,North America,40.7128,-74.006,438989,431078,1.8351667215677905,29.672265767010458
Apr,Pasta & Pizza,North America,40.7128,-74.006,329030,338569,-2.8174463698684757,32.26867853100509
Apr,Pasta & Pizza,North America,40.7128,-74.006,51606,50585,2.0183848967085103,29.790508903391135
Apr,Pasta & Pizza,North America,40.7128,-74.006,483254,469141,3.008264040022083,30.190251568634274
Apr,Pasta & Pizza,North America,40.7128,-74.006,184073,181915,1.186268312123794,31.329308685499704
Apr,Pasta & Pizza,North America,40.7128,-74.006,78148,76886,1.6413911505345578,31.55838526903001
Apr,Pasta & Pizza,North America,40.7128,-74.006,58555,58538,0.02904096484334962,27.797804487300333
Apr,Pasta & Pizza,North America,40.7128,-74.006,382654,375154,1.9991790038224302,27.613683541021814
Apr,Pasta & Pizza,North America,40.7128,-74.006,492691,487124,1.142830162340595,29.181896196552138
Apr,Pasta & Pizza,North America,40.7128,-74.006,218261,214436,1.7837489973698446,29.077068563651633
Apr,Pasta & Pizza,North America,40.7128,-74.006,475625,474191,0.30240978846076794,30.13331455701725
Apr,Pasta & Pizza,North America,40.7128,-74.006,47065,48179,-2.312210714211586,31.47693315999082
Apr,Pasta & Pizza,North America,40.7128,-74.006,497879,499983,-0.4208143076864614,30.34273656237994
Apr,Pasta & Pizza,North America,40.7128,-74.006,363531,353611,2.8053425939803907,27.981829314269785
Apr,Pasta & Pizza,North America,40.7128,-74.006,477281,478417,-0.2374497561750523,26.833411572926224
Apr,Pasta & Pizza,North America,40.7128,-74.006,358951,355865,0.8671827799867927,30.687236579136922
